FOG	HOG	Protein ID	sce Locus	Features	Protein description	Parent	Neofunc, Subfunct	References	Source	Suggested Analysis	SGD Description	PomBase Description	AspGD Description
FOG13891	HOG09677	TIP20	TIP20								Peripheral membrane protein required for COPI vesicle fusion to the ER; mediates Sey1p-independent homotypic ER fusion; prohibits back-fusion of COPII vesicles with the ER; forms a tethering complex with Sec39p and Dsl1p that interacts with ER SNAREs Sec20p and Use1p		
FOG13900	HOG09686								added via ODB8		Tail-anchored plasma membrane protein with a conserved CYSTM module; predicted to be palmitoylated; has similarity to hydrophilins, which are involved in the adaptive response to hyperosmotic conditions; YBR016W has a paralog, YDL012C, that arose from the whole genome duplication		
FOG13901	HOG09687								added via ODB8		Putative protein of unknown function		
FOG13902	HOG09688								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN3310, AN1449, AN7654, A. fumigatus Af293 : Afu2g01140, Afu3g00880, Afu8g04370 and A. niger CBS 513.88 : An15g07790
FOG13903	HOG09689								added via ODB8		Protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching		
FOG13906	HOG09692	DSE2	DSE2						added via ODB8		Daughter cell-specific secreted protein with similarity to glucanases; degrades cell wall from the daughter side causing daughter to separate from mother; expression is repressed by cAMP		
FOG13908	HOG09694								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN0336, A. fumigatus Af293 : Afu1g02310, Aspergillus wentii : Aspwe1_0736723, Aspergillus sydowii : Aspsy1_1167337 and Aspergillus terreus NIH2624 : ATET_04862|Has domain(s) with predicted DNA binding activity|Ortholog of A. nidulans FGSC A4 : AN6408, A. fumigatus Af293 : Afu1g02300, A. niger CBS 513.88 : An01g05890 and A. oryzae RIB40 : AO090005000870, AO090012000134
FOG13910	HOG09696	SHR5	SHR5								Palmitoyltransferase subunit; this complex adds a palmitoyl lipid moiety to heterolipidated substrates such as Ras1p and Ras2p through a thioester linkage; palmitoylation is required for Ras2p membrane localization; Palmitoyltransferase is composed of Shr5p and Erf2		
FOG13911	HOG09697	ASI2	ASI2								Subunit of the nuclear inner membrane Asi ubiquitin ligase complex; Asi complex targets both misfolded proteins and regulators of sterol biosynthesis for ubiquitin-mediated degradation; acts with Asi1p and Asi3p to ensure the fidelity of SPS-sensor signalling by targeting latent unprocessed forms of Stp1p and Stp2p and maintains the repressed state of gene expression in the absence of inducing amino acids		
FOG13913	HOG09699											NASP family CENP-A chaperone	Ortholog(s) have role in CENP-A containing nucleosome assembly, chromatin maintenance, chromatin silencing at centromere, mitotic sister chromatid segregation and nucleoplasm localization
FOG13914	HOG09700												Ortholog(s) have adenine deaminase activity
FOG13915	HOG09701								added via ODB8				Has domain(s) with predicted carbon-sulfur lyase activity and role in metabolic process
FOG13917	HOG09703											CIA30 protein (predicted)	Ortholog(s) have cytosol, nucleus localization
FOG13918	HOG09704											alcohol dehydrogenase (predicted)	
FOG13920	HOG09706	LSG1	LSG1								Putative GTPase involved in 60S ribosomal subunit biogenesis; required for the release of Nmd3p from 60S subunits in the cytoplasm	GTP binding protein, HSR1-related (predicted)	Ortholog(s) have mRNA binding activity and role in ascospore formation, conjugation with cellular fusion, ribosomal large subunit assembly, ribosomal subunit export from nucleus
FOG13921	HOG09707								added via ODB8				Protein of unknown function
FOG13922	HOG09708								added via ODB8				Has domain(s) with predicted NAD binding, coenzyme binding, oxidoreductase activity, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor activity
FOG13925	HOG09711										Putative S-adenosylmethionine-dependent methyltransferase; YMR209C is not an essential gene		
FOG13926	HOG09712								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN8703, A. fumigatus Af293 : Afu6g02430, Aspergillus glaucus : Aspgl1_0057388, Neosartorya fischeri NRRL 181 : NFIA_048690 and Aspergillus wentii : Aspwe1_0313741
FOG13927	HOG09713												Has domain(s) with predicted amino acid transmembrane transporter activity, role in amino acid transmembrane transport, transmembrane transport and membrane localization
FOG13931	HOG09717											transmembrane transporter (predicted)	Ortholog(s) have purine nucleobase transmembrane transporter activity, role in hypoxanthine transport and Golgi apparatus, fungal-type vacuole, plasma membrane localization
FOG13932	HOG09718	LHS1	LHS1								Molecular chaperone of the endoplasmic reticulum lumen; involved in polypeptide translocation and folding; nucleotide exchange factor for the ER lumenal Hsp70 chaperone Kar2p; regulated by the unfolded protein response pathway	ER heat shock protein Lsh1 (predicted)	ER nucleotide exchange factor; expression enhanced by maltose; expression induced by tunicamycin and DTT
FOG13933	HOG09719								added via ODB8				Protein of unknown function
FOG13944	HOG09730								added via ODB8			endoplasmic reticulum membrane protein involved in assembly of the V-ATPase (predicted)	
FOG13946	HOG09732											Schizosaccharomyces specific protein	
FOG13947	HOG09733	THO1	THO1								Conserved nuclear RNA-binding protein; specifically binds to transcribed chromatin in a THO- and RNA-dependent manner, genetically interacts with shuttling hnRNP NAB2; overproduction suppresses transcriptional defect caused by hpr1 mutation		
FOG13953	HOG09739	VOA1	VOA1								ER protein that functions in assembly of the V0 sector of V-ATPase; functions with other assembly factors; null mutation enhances the vacuolar ATPase (V-ATPase) deficiency of a vma21 mutant impaired in endoplasmic reticulum (ER) retrieval		
FOG13954	HOG09740	DBR1	DBR1								RNA lariat debranching enzyme; catalyzes debranching of lariat introns formed during pre-mRNA splicing; required for efficient Ty1 transposition; knockdown of human homolog Dbr1 rescues toxicity of RNA-binding proteins TDP-43 and FUS which are implicated in amyotrophic lateral sclerosis (ALS), suggests potential therapeutic target for ALS and related TDP-43 proteinopathies	RNA lariat debranching enzyme Dbr1	Ortholog(s) have RNA lariat debranching enzyme activity, role in RNA phosphodiester bond hydrolysis, endonucleolytic, mRNA cis splicing, via spliceosome and nucleus localization
FOG13956	HOG09742												Ortholog(s) have role in cellular response to drug
FOG13960	HOG09746	MDM20	MDM20								Non-catalytic subunit of the NatB N-terminal acetyltransferase; NatB catalyzes N-acetylation of proteins with specific N-terminal sequences; involved in mitochondrial inheritance and actin assembly	NatB N-acetyltransferase complex regulatory subunit Naa25	Ortholog(s) have N-terminal protein N-methyltransferase activity, role in N-terminal peptidyl-methionine acetylation, regulation of mitotic actomyosin contractile ring assembly and cytosol localization
FOG13962	HOG09748								added via ODB8				Ortholog of A. niger CBS 513.88 : An15g07250, Aspergillus versicolor : Aspve1_0043480, Aspve1_0089164, Aspergillus clavatus NRRL 1 : ACLA_004180 and Aspergillus niger ATCC 1015 : 42045-mRNA
FOG13964	HOG09750								added via ODB8				Has domain(s) with predicted oxidoreductase activity and role in oxidation-reduction process
FOG13966	HOG09752												Ortholog of A. nidulans FGSC A4 : AN1412, A. fumigatus Af293 : Afu8g04030, A. oryzae RIB40 : AO090103000016, Aspergillus wentii : Aspwe1_0117975 and Aspergillus sydowii : Aspsy1_0144289
FOG13967	HOG09753								added via ODB8			cell cycle regulated GATA-type transcription factor Ams2	
FOG13968	HOG09754								added via ODB8				Has domain(s) with predicted catalytic activity, hydrolase activity
FOG13970	HOG09756								added via ODB8		Putative protein of unknown function; identified by expression profiling and mass spectrometry		
FOG13973	HOG09759	ESF2	ESF2								Essential nucleolar protein involved in pre-18S rRNA processing; binds to RNA and stimulates ATPase activity of Dbp8; involved in assembly of the small subunit (SSU) processome	U3 snoRNP-associated protein Esf2 (predicted)	Ortholog(s) have ATPase activator activity, RNA binding activity
FOG13975	HOG09761	FYV5	FYV5						added via ODB8		Protein involved in regulation of the mating pathway; binds with Matalpha2p to promoters of haploid-specific genes; required for survival upon exposure to K1 killer toxin; involved in ion homeostasis		
FOG13976	HOG09762												Has domain(s) with predicted double-stranded RNA binding activity
FOG13980	HOG09766								added via ODB8				Ortholog of A. fumigatus Af293 : Afu1g02240, Neosartorya fischeri NRRL 181 : NFIA_022410, Aspergillus versicolor : Aspve1_0078150 and Aspergillus clavatus NRRL 1 : ACLA_032190
FOG13981	HOG09767	POP5	POP5								Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs	RNase P and RNase MRP subunit (predicted)	Ortholog(s) have RNA binding, ribonuclease MRP activity, ribonuclease P activity
FOG13982	HOG09768								added via ODB8				Ortholog of A. fumigatus Af293 : Afu6g07660, Neosartorya fischeri NRRL 181 : NFIA_053330, Aspergillus niger ATCC 1015 : 38870-mRNA and Aspergillus brasiliensis : Aspbr1_0190930
FOG13983	HOG09769								added via ODB8				Has domain(s) with predicted nucleic acid binding activity
FOG13984	HOG09770												Ortholog of A. nidulans FGSC A4 : AN2993, A. fumigatus Af293 : Afu3g08610, A. oryzae RIB40 : AO090005001411, Aspergillus wentii : Aspwe1_0550058 and Aspergillus sydowii : Aspsy1_0042547
FOG13987	HOG09773								added via ODB8			ACN9 family protein	
FOG13990	HOG09776												Ortholog of A. nidulans FGSC A4 : AN9205, AN9209, A. fumigatus Af293 : Afu5g00100, Afu8g01840, Afu7g06523, A. niger CBS 513.88 : An05g01030, An13g03050 and A. oryzae RIB40 : AO090012000290, AO090011000069
FOG13991	HOG09777												Ortholog of A. oryzae RIB40 : AO090023000136, Aspergillus niger ATCC 1015 : 50513-mRNA, Aspergillus terreus NIH2624 : ATET_08825 and Aspergillus carbonarius ITEM 5010 : Acar5010_006841, Acar5010_208666
FOG13994	HOG09780								added via ODB8			arrestin family meiotic suppressor protein Ste7	
FOG13995	HOG09781	RCL1	RCL1								Endonuclease that cleaves pre-rRNA at site A2 for 18S rRNA biogenesis; subunit of U3-containing 90S preribosome processome complex involved in small ribosomal subunit assembly; stimulates Bms1p GTPase and U3 binding activity; similar to RNA cyclase-like proteins but no cyclase activity detected	rRNA processing protein Rcl1 (predicted)	Has domain(s) with predicted role in ribosome biogenesis and nucleolus localization
FOG13997	HOG09783	TRA1	TRA1								Subunit of SAGA and NuA4 histone acetyltransferase complexes; interacts with acidic activators (e.g., Gal4p) which leads to transcription activation; similar to human TRRAP, which is a cofactor for c-Myc mediated oncogenic transformation	NuA4 complex phosphatidylinositol pseudokinase complex subunit Tra2|SAGA complex phosphatidylinositol pseudokinase Tra1	Ortholog(s) have histone acetyltransferase activity
FOG13998	HOG09784												Has domain(s) with predicted oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors activity
FOG14000	HOG09786								added via ODB8				Ortholog of Aspergillus tubingensis : Asptu1_0078354, Aspergillus glaucus : Aspgl1_0162676, Aspergillus kawachii : Aspka1_0177947 and Aspergillus acidus : Aspfo1_0062011
FOG14005	HOG09791								added via ODB8				Ortholog of Aspergillus tubingensis : Asptu1_0044929, Aspergillus brasiliensis : Aspbr1_0049366, Aspergillus kawachii : Aspka1_0182545 and Aspergillus acidus : Aspfo1_0077456
FOG14006	HOG09792		YBP1;YBP2								Protein involved in cellular response to oxidative stress; required for oxidation of specific cysteine residues of transcription factor Yap1p, resulting in nuclear localization of Yap1p in response to stress; YBP1 has a paralog, YBP2, that arose from the whole genome duplication|Central kinetochore associated protein; mediates mitotic progression; interacts with several central kinetochore proteins and centromeric histone Cse4p; role in resistance to oxidative stress; similar to Slk19p; YBP2 has a paralog, YBP1, that arose from the whole genome duplication		
FOG14008	HOG09794								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN9071, A. fumigatus Af293 : Afu7g02520, Neosartorya fischeri NRRL 181 : NFIA_115250 and Aspergillus versicolor : Aspve1_0047888
FOG14012	HOG09798								added via ODB8				Protein of unknown function
FOG14015	HOG09801								added via ODB8		Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching		
FOG14018	HOG09804								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN4512, A. fumigatus Af293 : Afu2g03155, A. oryzae RIB40 : AO090120000271, Aspergillus wentii : Aspwe1_0155259 and Aspergillus sydowii : Aspsy1_0036813
FOG14019	HOG09805												Ortholog of A. nidulans FGSC A4 : AN0296, Neosartorya fischeri NRRL 181 : NFIA_096570, Aspergillus wentii : Aspwe1_0046795 and Aspergillus versicolor : Aspve1_0035695
FOG14020	HOG09806								added via ODB8			Schizosaccharomyces specific protein	
FOG14021	HOG09807								added via ODB8		Putative protein of unknown function		
FOG14022	HOG09808								added via ODB8			Schizosaccharomyces specific protein	
FOG14027	HOG09813								added via ODB8			Schizosaccharomyces specific protein	
FOG14029	HOG09815								added via ODB8				Ortholog of Aspergillus tubingensis : Asptu1_0047699, Aspergillus brasiliensis : Aspbr1_0340162, Aspergillus kawachii : Aspka1_0176679 and Aspergillus acidus : Aspfo1_0047569
FOG14032	HOG09818	REV7	REV7								Accessory subunit of DNA polymerase zeta; involved in translesion synthesis during post-replication repair; required for mutagenesis induced by DNA damage; involved in double-strand break repair; forms a complex with Rev3p, Pol31p and Pol32p		
FOG14033	HOG09819	SCEI	SCEI						added via ODB8		I-SceI DNA endonuclease; encoded by the mitochondrial group I intron of the 21S_rRNA gene; mediates gene conversion that propagates the intron into intron-less copies of the 21S_rRNA gene		
